id,cust_id,cart_id,sales_amnt,total_discount,total_amnt,timestamp
236097,CID00127,,33.2,0.0,33.2,2023-01-08 00:00:01
236098,CID00267,,251.74,0.0,251.74,2023-01-08 00:06:06
236099,CID00175,,1081.98,0.0,1081.98,2023-01-08 00:24:21
236100,CID00165,,908.62,0.0,908.62,2023-01-08 00:30:26
236101,CID00240,,1518.11,0.0,1518.11,2023-01-08 01:06:56
236104,CID00226,,102.38,0.0,102.38,2023-01-08 01:19:06
236105,CID00227,,193.03,0.0,193.03,2023-01-08 01:49:31
236106,CID00176,,2328.68,0.0,2328.68,2023-01-08 01:55:36
236108,CID00034,,621.98,0.0,621.98,2023-01-08 02:01:41
236110,CID00255,,921.49,0.0,921.49,2023-01-08 02:13:51
236111,CID00237,,197.55,0.0,197.55,2023-01-08 02:19:56
236112,CID00161,,588.77,0.0,588.77,2023-01-08 02:26:01
236113,CID00252,,122.18,0.0,122.18,2023-01-08 02:32:06
236114,CID00221,,33.21,0.0,33.21,2023-01-08 03:02:31
236115,CID00117,,102.38,0.0,102.38,2023-01-08 03:08:36
236116,CID00112,,283.12,0.0,283.12,2023-01-08 03:20:46
236117,CID00257,,496.59,0.0,496.59,2023-01-08 03:32:56
236119,CID00046,,826.1800000000001,0.0,826.1800000000001,2023-01-08 03:39:01
236122,CID00204,,514.79,0.0,514.79,2023-01-08 03:45:06
236123,CID00033,,382.97,0.0,382.97,2023-01-08 04:09:26
236124,CID00316,,33.21,0.0,33.21,2023-01-08 04:15:31
236125,CID00032,,1747.79,0.0,1747.79,2023-01-08 04:21:36
236126,CID00092,,464.13,0.0,464.13,2023-01-08 04:27:41
236127,CID00230,,1735.83,0.0,1735.83,2023-01-08 05:04:11
236129,CID00156,,787.18,0.0,787.18,2023-01-08 05:34:36
236130,CID00274,,1596.52,0.0,1596.52,2023-01-08 05:46:46
236132,CID00020,,218.77,0.0,218.77,2023-01-08 05:52:51
236133,CID00198,,180.39,0.0,180.39,2023-01-08 06:05:01
236135,CID00221,,286.86,0.0,286.86,2023-01-08 06:29:21
236136,CID00040,,1512.78,0.0,1512.78,2023-01-08 06:35:26
236137,CID00273,,421.37,0.0,421.37,2023-01-08 06:41:31
236139,CID00104,,787.18,0.0,787.18,2023-01-08 06:53:41
236140,CID00089,,241.19,0.0,241.19,2023-01-08 07:11:56
236141,CID00072,,787.18,0.0,787.18,2023-01-08 07:30:11
236142,CID00224,,462.25,0.0,462.25,2023-01-08 07:36:16
236143,CID00298,,159.33,0.0,159.33,2023-01-08 07:42:21
236144,CID00127,,130.76,0.0,130.76,2023-01-08 07:48:26
236145,CID00265,,278.55,0.0,278.55,2023-01-08 08:31:01
236146,CID00065,,122.18,0.0,122.18,2023-01-08 08:37:06
236147,CID00002,,133.82,0.0,133.82,2023-01-08 08:55:21
236148,CID00205,,463.31,0.0,463.31,2023-01-08 09:01:26
236149,CID00021,,1454.7,0.0,1454.7,2023-01-08 09:07:31
236152,CID00153,,72.85,0.0,72.85,2023-01-08 09:13:36
236153,CID00076,,952.41,0.0,952.41,2023-01-08 09:19:41
236154,CID00113,,1395.1,0.0,1395.1,2023-01-08 09:25:46
236156,CID00252,,475.29,0.0,475.29,2023-01-08 09:44:01
236158,CID00122,,735.05,0.0,735.05,2023-01-08 10:02:16
236159,CID00057,,286.86,0.0,286.86,2023-01-08 10:14:26
236160,CID00154,,1037.34,0.0,1037.34,2023-01-08 10:20:31
236162,CID00155,,90.07,0.0,90.07,2023-01-08 10:26:36
236163,CID00021,,1200.78,0.0,1200.78,2023-01-08 10:32:41
236165,CID00169,,761.67,0.0,761.67,2023-01-08 10:38:46
236167,CID00229,,130.76,0.0,130.76,2023-01-08 10:44:51
236168,CID00119,,1582.74,0.0,1582.74,2023-01-08 10:50:56
236170,CID00052,,90.07,0.0,90.07,2023-01-08 11:15:16
236171,CID00224,,957.53,0.0,957.53,2023-01-08 11:21:21
236172,CID00046,,275.37,0.0,275.37,2023-01-08 11:27:26
236173,CID00278,,254.82,0.0,254.82,2023-01-08 11:33:31
