id,trx_header_id,prod_id,quantity,price,amnt,hrs_incart
186957,236097,1005711,1,33.2,33.2,
186958,236098,1002864,1,251.74,251.74,
186959,236099,1001888,1,1081.98,1081.98,
186960,236100,1003229,1,908.62,908.62,
186961,236101,1002008,1,566.01,566.01,
186962,236101,1004551,1,51.46,51.46,
186963,236101,1002266,1,900.64,900.64,
186964,236104,1005693,1,102.38,102.38,
186965,236105,1003754,1,193.03,193.03,
186966,236106,1002360,1,1747.79,1747.79,
186967,236106,1002738,1,580.89,580.89,
186968,236108,1006594,1,33.21,33.21,
186969,236108,1001665,1,588.77,588.77,
186970,236110,1003272,1,921.49,921.49,
186971,236111,1002088,1,197.55,197.55,
186972,236112,1001665,1,588.77,588.77,
186973,236113,1005756,1,122.18,122.18,
186974,236114,1005403,1,33.21,33.21,
186975,236115,1005693,1,102.38,102.38,
186976,236116,1004155,1,283.12,283.12,
186977,236117,1005105,1,463.15,463.15,
186978,236117,1005353,1,33.44,33.44,
186979,236119,1004545,1,295.99,295.99,
186980,236119,1002105,1,254.82,254.82,
186981,236119,1004921,1,275.37,275.37,
186982,236122,1003452,1,514.79,514.79,
186983,236123,1001645,1,382.97,382.97,
186984,236124,1006594,1,33.21,33.21,
186985,236125,1002360,1,1747.79,1747.79,
186986,236126,1001613,1,464.13,464.13,
186987,236127,1002896,1,320.35,320.35,
186988,236127,1002330,1,1415.48,1415.48,
186989,236129,1002044,1,787.18,787.18,
186990,236130,1002301,1,1207.71,1207.71,
186991,236130,1002179,1,388.81,388.81,
186992,236132,1006516,1,218.77,218.77,
186993,236133,1005732,1,90.32,90.32,
186994,236133,1005298,1,90.07,90.07,
186995,236135,1002176,1,286.86,286.86,
186996,236136,1002611,1,1512.78,1512.78,
186997,236137,1002834,1,290.61,290.61,
186998,236137,1002167,1,130.76,130.76,
186999,236139,1002044,1,787.18,787.18,
187000,236140,1002151,1,241.19,241.19,
187001,236141,1002044,1,787.18,787.18,
187002,236142,1003581,1,462.25,462.25,
187003,236143,1001988,1,159.33,159.33,
187004,236144,1002167,1,130.76,130.76,
187005,236145,1002115,1,278.55,278.55,
187006,236146,1005756,1,122.18,122.18,
187007,236147,1005709,1,133.82,133.82,
187008,236148,1003578,1,463.31,463.31,
187009,236149,1002340,1,975.57,975.57,
187010,236149,1002179,1,388.81,388.81,
187011,236149,1005732,1,90.32,90.32,
187012,236152,1005699,1,72.85,72.85,
187013,236153,1001845,1,952.41,952.41,
187014,236154,1003649,1,411.83,411.83,
187015,236154,1003282,1,983.27,983.27,
187016,236156,1001709,1,344.64,344.64,
187017,236156,1002073,1,130.65,130.65,
187018,236158,1001909,1,735.05,735.05,
187019,236159,1002176,1,286.86,286.86,
187020,236160,1002738,1,580.89,580.89,
187021,236160,1002118,1,456.45,456.45,
187022,236162,1005298,1,90.07,90.07,
187023,236163,1001676,1,957.53,957.53,
187024,236163,1001925,1,243.25,243.25,
187025,236165,1001664,1,612.43,612.43,
187026,236165,1005347,1,149.24,149.24,
187027,236167,1002167,1,130.76,130.76,
187028,236168,1002008,1,566.01,566.01,
187029,236168,1003181,1,1016.73,1016.73,
187030,236170,1005298,1,90.07,90.07,
187031,236171,1001676,1,957.53,957.53,
187032,236172,1004921,1,275.37,275.37,
187033,236173,1002105,1,254.82,254.82,
187034,236174,1002167,1,130.76,130.76,
187035,236174,1002118,1,456.45,456.45,
187036,236176,1002360,1,1747.79,1747.79,
187037,236177,1002105,1,254.82,254.82,
187038,236177,1001900,1,739.81,739.81,
187039,236179,1002046,1,885.07,885.07,
187040,236180,1001605,1,643.23,643.23,
187041,236181,1002105,1,254.82,254.82,
187042,236182,1002870,1,669.0,669.0,
187043,236183,1002222,1,838.89,838.89,
187044,236184,1005353,1,33.44,33.44,
187045,236185,1001888,1,1081.98,1081.98,
187046,236185,1002167,1,130.76,130.76,
187047,236187,1002105,1,254.82,254.82,
187048,236188,1002864,1,251.74,251.74,
187049,236188,1006516,1,218.77,218.77,
187050,236190,1004921,1,275.37,275.37,
187051,236191,1002340,1,975.57,975.57,
187052,236192,1002300,1,1044.09,1044.09,
187053,236193,1004193,1,349.79,349.79,
187054,236194,1002368,1,1541.61,1541.61,
187055,236195,1002044,1,787.18,787.18,
187056,236196,1002153,1,179.38,179.38,
187057,236197,1001744,1,72.28,72.28,
187058,236198,1002340,1,975.57,975.57,
187059,236199,1004831,1,91.38,91.38,
187060,236199,1003045,1,257.15,257.15,
187061,236201,1001606,1,642.69,642.69,
187062,236202,1002167,1,130.76,130.76,
187063,236203,1002105,1,254.82,254.82,
187064,236204,1002325,1,154.42,154.42,
187065,236205,1002340,1,975.57,975.57,
187066,236206,1003181,1,1016.73,1016.73,
187067,236207,1006762,1,23.13,23.13,
187068,236208,1002222,1,838.89,838.89,
187069,236209,1002167,1,130.76,130.76,
187070,236210,1002274,1,102.68,102.68,
187071,236211,1002180,1,383.51,383.51,
187072,236211,1002930,1,411.83,411.83,
187073,236213,1002326,1,450.46,450.46,
187074,236214,1002673,1,643.49,643.49,
187075,236215,1002368,1,1541.61,1541.61,
187076,236216,1002820,1,486.47,486.47,
187077,236216,1002340,1,975.57,975.57,
187078,236218,1002340,1,975.57,975.57,
187079,236219,1004253,1,424.64,424.64,
187080,236220,1002220,1,746.22,746.22,
187081,236221,1004542,1,53.23,53.23,
187082,236222,1002330,1,1415.48,1415.48,
187083,236223,1005298,1,90.07,90.07,
187084,236224,1002105,1,254.82,254.82,
187085,236225,1002167,1,130.76,130.76,
187086,236226,1002220,1,746.22,746.22,
187087,236227,1005234,1,283.05,283.05,
187088,236228,1002330,1,1415.48,1415.48,
187089,236229,1002251,1,591.75,591.75,
187090,236230,1001914,1,71.45,71.45,
187091,236231,1002252,1,591.78,591.78,
187092,236232,1002173,1,452.81,452.81,
187093,236233,1002340,1,975.57,975.57,
187094,236234,1004193,1,349.79,349.79,
187095,236235,1002175,1,423.95,423.95,
187096,236236,1002274,1,102.68,102.68,
187097,236237,1004208,1,539.1,539.1,
187098,236238,1004259,1,257.15,257.15,
187099,236239,1002105,1,254.82,254.82,
187100,236240,1001606,1,642.69,642.69,
187101,236240,1001867,1,92.64,92.64,
187102,236242,1001952,1,42.45,42.45,
187103,236243,1002176,1,286.86,286.86,
187104,236244,1002176,1,286.86,286.86,
187105,236245,1002235,1,257.38,257.38,
187106,236246,1002340,1,975.57,975.57,
187107,236247,1001915,1,52.74,52.74,
187108,236248,1001606,1,642.69,642.69,
187109,236249,1004186,1,310.37,310.37,
187110,236250,1002327,1,463.04,463.04,
187111,236251,1002340,1,975.57,975.57,
187112,236252,1002169,1,134.42,134.42,
187113,236253,1006762,1,23.13,23.13,
187114,236254,1002176,1,286.86,286.86,
187115,236255,1002105,1,254.82,254.82,
187116,236256,1003041,1,373.21,373.21,
187117,236256,1004364,1,465.7,465.7,
187118,236256,1002235,1,257.38,257.38,
187119,236259,1001914,1,71.45,71.45,
187120,236260,1002167,1,130.76,130.76,
187121,236260,1002355,1,1619.09,1619.09,
187122,236262,1001897,1,736.18,736.18,
187123,236263,1002151,1,241.19,241.19,
187124,236263,1002105,1,254.82,254.82,
