id,vendor_id,prod_cat_id,name,brand,desc,price,features,search_kw,prev_price,created_dt,updated_dt,deactivated_flag
1001588,VEND0002,CAT0094,Meizu Smartphone,meizu,Meizu Smartphone: electronics smartphone,128.31,{'brand': 'meizu'},"['meizu', 'electronics', 'smartphone']",,2022-11-15 00:01:01,2022-11-15 00:01:01,False
1001589,VEND0003,CAT0094,Samsung Smartphone,samsung,Samsung Smartphone: electronics smartphone,77.14,{'brand': 'samsung'},"['samsung', 'electronics', 'smartphone']",,2022-11-15 00:06:30,2022-11-15 00:06:30,False
1001590,VEND0001,CAT0094,Samsung Smartphone,samsung,Samsung Smartphone: electronics smartphone,409.02,{'brand': 'samsung'},"['samsung', 'electronics', 'smartphone']",,2022-11-15 00:14:20,2022-11-15 00:14:20,False
1001591,VEND0003,CAT0094,Samsung Smartphone,samsung,Samsung Smartphone: electronics smartphone,370.41,{'brand': 'samsung'},"['samsung', 'electronics', 'smartphone']",,2022-11-15 00:25:41,2022-11-15 00:25:41,False
1001592,VEND0002,CAT0094,Samsung Smartphone,samsung,Samsung Smartphone: electronics smartphone,409.02,{'brand': 'samsung'},"['samsung', 'electronics', 'smartphone']",,2022-11-15 00:43:25,2022-11-15 00:43:25,False
1001593,VEND0003,CAT0094,Samsung Smartphone,samsung,Samsung Smartphone: electronics smartphone,409.02,{'brand': 'samsung'},"['samsung', 'electronics', 'smartphone']",,2022-11-15 00:58:57,2022-11-15 00:58:57,False
1001594,VEND0004,CAT0094,Samsung Smartphone,samsung,Samsung Smartphone: electronics smartphone,414.53,{'brand': 'samsung'},"['samsung', 'electronics', 'smartphone']",,2022-11-15 01:13:03,2022-11-15 01:13:03,False
1001595,VEND0005,CAT0094,Philips Smartphone,philips,Philips Smartphone: electronics smartphone,82.37,{'brand': 'philips'},"['philips', 'electronics', 'smartphone']",,2022-11-15 01:28:35,2022-11-15 01:28:35,False
1001596,VEND0001,CAT0094,Meizu Smartphone,meizu,Meizu Smartphone: electronics smartphone,205.53,{'brand': 'meizu'},"['meizu', 'electronics', 'smartphone']",,2022-11-15 01:43:51,2022-11-15 01:43:51,False
1001597,VEND0005,CAT0094,Sony Smartphone,sony,Sony Smartphone: electronics smartphone,275.55,{'brand': 'sony'},"['sony', 'electronics', 'smartphone']",,2022-11-15 02:00:40,2022-11-15 02:00:40,False
1001598,VEND0002,CAT0094,Sony Smartphone,sony,Sony Smartphone: electronics smartphone,252.39,{'brand': 'sony'},"['sony', 'electronics', 'smartphone']",,2022-11-15 02:17:14,2022-11-15 02:17:14,False
1001599,VEND0005,CAT0094,Meizu Smartphone,meizu,Meizu Smartphone: electronics smartphone,128.31,{'brand': 'meizu'},"['meizu', 'electronics', 'smartphone']",,2022-11-15 02:31:43,2022-11-15 02:31:43,False
1001600,VEND0002,CAT0094,Meizu Smartphone,meizu,Meizu Smartphone: electronics smartphone,179.79,{'brand': 'meizu'},"['meizu', 'electronics', 'smartphone']",,2022-11-15 02:48:17,2022-11-15 02:48:17,False
1001601,VEND0001,CAT0094,Sony Smartphone,sony,Sony Smartphone: electronics smartphone,306.42,{'brand': 'sony'},"['sony', 'electronics', 'smartphone']",,2022-11-15 03:02:28,2022-11-15 03:02:28,False
1001602,VEND0001,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,514.76,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",515.67,2022-11-15 03:16:49,2023-02-20 09:04:11,False
1001603,VEND0001,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,721.0,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",,2022-11-15 03:33:12,2022-11-15 03:33:12,False
