id,biz_account,email,biz_alias,prev_biz_alias,phone,street_addr,state,zip_code,country,prev_addr,official_flag,registered_dt,updated_dt
VEND0001,kirlin_1,kirlin_1@vend.com,Kirlin and Sons,,0843138706,351 Darlene Green,Queensland,9209,Australia,,True,2022-11-04 04:10:44,2022-11-04 04:10:44
VEND0002,sporer_2,sporer_2@vend.com,Sporer-Keebler,,0657402165,3638 Marsh Union,Queensland,4002,Australia,,True,2022-11-07 21:38:27,2022-11-07 21:38:27
VEND0003,swaniawski_3,swaniawski_3@vend.com,"Swaniawski, Nitzsche and Welch",,0860238257,9333 Valentine Point,New South Wales,1710,Australia,,False,2022-11-08 02:58:49,2022-11-08 02:58:49
VEND0004,haley_4,haley_4@vend.com,Haley Group,,0431665303,32941 Krystal Mill Apt. 552,New South Wales,2780,Australia,,False,2022-11-08 16:05:48,2022-11-08 16:05:48
VEND0005,johnston_5,johnston_5@vend.com,Johnston-Casper,,0962138374,5783 Evan Roads Apt. 465,Queensland,9632,Australia,,False,2022-11-08 19:29:08,2022-11-08 19:29:08
VEND0006,daugherty_6,daugherty_6@vend.com,Daugherty LLC,,0017235499,76752 David Lodge Apt. 064,Queensland,4816,Australia,,False,2022-11-13 19:11:38,2022-11-13 19:11:38
VEND0007,romaguera_7,romaguera_7@vend.com,Romaguera Ltd,,0618691259,010 Weaver Land,South Australia,5528,Australia,,False,2022-11-15 07:42:25,2022-11-15 07:42:25
VEND0008,reichel_8,reichel_8@vend.com,Reichel LLC,,0358772912,350 Stacy Glens,Tasmania,7374,Australia,,False,2022-11-16 18:42:12,2022-11-16 18:42:12
VEND0009,goyette_9,goyette_9@vend.com,"Goyette, Howell and Collier",,0433095629,4138 David Fall,Western Australia,6858,Australia,,True,2022-11-16 22:12:50,2022-11-16 22:12:50
VEND0010,kilback_10,kilback_10@vend.com,Kilback Group,,0931703207,7921 Robert Port Suite 343,Western Australia,6678,Australia,,False,2022-11-17 13:55:18,2022-11-17 13:55:18
VEND0011,feil_11,feil_11@vend.com,"Feil, Hilpert and Koss",,0996888716,43235 Mckenzie Views Apt. 837,New South Wales,2077,Australia,,False,2022-11-18 00:40:26,2022-11-18 00:40:26
VEND0012,gottlieb_12,gottlieb_12@vend.com,Gottlieb Group,,0234918950,45654 Hess Rest,New South Wales,2514,Australia,,False,2022-11-18 13:56:50,2022-11-18 13:56:50
VEND0013,connelly_13,connelly_13@vend.com,Connelly-Carter,,0674063249,244 Abbott Parkway,Victoria,3470,Australia,,True,2022-11-19 11:46:52,2022-11-19 11:46:52
VEND0014,bechtelar_14,bechtelar_14@vend.com,Bechtelar-Rippin,,0177016567,977 Rita Grove Apt. 000,New South Wales,2575,Australia,,False,2022-11-20 10:17:54,2022-11-20 10:17:54
VEND0015,lubowitz_15,lubowitz_15@vend.com,Lubowitz-Walter,,0628639996,4038 Smith Avenue,Western Australia,6749,Australia,,False,2022-11-21 20:40:00,2022-11-21 20:40:00
VEND0016,welch_16,welch_16@vend.com,"Welch, Rath and Koepp",,0765449869,5097 Jodi Vista Suite 811,New South Wales,2725,Australia,,True,2022-11-22 04:40:37,2022-11-22 04:40:37
VEND0017,hickle_17,hickle_17@vend.com,Hickle Group,,0560454237,838 Franklin Prairie Apt. 902,Victoria,3040,Australia,,False,2022-11-24 17:18:50,2022-11-24 17:18:50
